GO:0030031,cell projection assembly,biological_process
GO:0071554,cell wall organization or biogenesis,biological_process
GO:0016043,cellular component organization,biological_process
GO:0051301,cell division,biological_process
GO:0016049,cell growth,biological_process
GO:0048870,cell motility,biological_process
GO:0032196,transposition,biological_process
GO:0006811,ion transport,biological_process
GO:0009306,protein secretion,biological_process
GO:0006810,transport,biological_process
GO:0046034,ATP metabolic process,biological_process
GO:0009058,biosynthetic process,biological_process
GO:0005975,carbohydrate metabolic process,biological_process
GO:0009056,catabolic process,biological_process
GO:0006520,cellular amino acid metabolic process,biological_process
GO:0045333,cellular respiration,biological_process
GO:0051186,cofactor metabolic process,biological_process
GO:0006259,DNA metabolic process,biological_process
GO:0022900,electron transport chain,biological_process
GO:0006091,generation of precursor metabolites and energy,biological_process
GO:0046039,GTP metabolic process,biological_process
GO:0006629,lipid metabolic process,biological_process
GO:0006807,nitrogen compound metabolic process,biological_process
GO:0071941,nitrogen cycle metabolic process,biological_process
GO:0009117,nucleotide metabolic process,biological_process
GO:0055114,oxidation-reduction process,biological_process
GO:0016310,phosphorylation,biological_process
GO:0015979,photosynthesis,biological_process
GO:0019538,protein metabolic process,biological_process
GO:0016070,RNA metabolic process,biological_process
GO:0044281,small molecule metabolic process,biological_process
GO:0006790,sulfur compound metabolic process,biological_process
GO:0009404,toxin metabolic process,biological_process
GO:0006351,"transcription, DNA-dependent",biological_process
GO:0006412,translation,biological_process
GO:0007154,cell communication,biological_process
GO:0006935,chemotaxis,biological_process
GO:0006950,response to stress,biological_process
GO:0007165,signal transduction,biological_process
GO:0000160,two-component signal transduction system (phosphorelay),biological_process
GO:0000902,cell morphogenesis,biological_process
GO:0000746,conjugation,biological_process
GO:0042592,homeostatic process,biological_process
GO:0002376,immune system process,biological_process
GO:0009405,pathogenesis,biological_process
GO:0043934,sporulation,biological_process
GO:0044403,"symbiosis, encompassing mutualism through parasitism",biological_process
GO:0016032,viral reproduction,biological_process
GO:0042575,DNA polymerase complex,cellular_component
GO:0016469,proton-transporting two-sector ATPase complex,cellular_component
GO:0005840,ribosome,cellular_component
GO:0005667,transcription factor complex,cellular_component
GO:0005694,chromosome,cellular_component
GO:0005737,cytoplasm,cellular_component
GO:0005856,cytoskeleton,cellular_component
GO:0005783,endoplasmic reticulum,cellular_component
GO:0005727,extrachromosomal circular DNA,cellular_component
GO:0005794,Golgi apparatus,cellular_component
GO:0005739,mitochondrion,cellular_component
GO:0009295,nucleoid,cellular_component
GO:0005634,nucleus,cellular_component
GO:0042597,periplasmic space,cellular_component
GO:0009579,thylakoid,cellular_component
GO:0005773,vacuole,cellular_component
GO:0031982,vesicle,cellular_component
GO:0043190,ATP-binding cassette (ABC) transporter complex,cellular_component
GO:0005618,cell wall,cellular_component
GO:0019861,flagellum,cellular_component
GO:0016020,membrane,cellular_component
GO:0019867,outer membrane,cellular_component
GO:0009289,pilus,cellular_component
GO:0005886,plasma membrane,cellular_component
GO:0070469,respiratory chain,cellular_component
GO:0031012,extracellular matrix,cellular_component
GO:0019012,virion,cellular_component
GO:0048037,cofactor binding,molecular_function
GO:0008092,cytoskeletal protein binding,molecular_function
GO:0046872,metal ion binding,molecular_function
GO:0003676,nucleic acid binding,molecular_function
GO:0000166,nucleotide binding,molecular_function
GO:0005102,receptor binding,molecular_function
GO:0008134,transcription factor binding,molecular_function
GO:0051082,unfolded protein binding,molecular_function
GO:0004812,aminoacyl-tRNA ligase activity,molecular_function
GO:0016853,isomerase activity,molecular_function
GO:0016874,ligase activity,molecular_function
GO:0016829,lyase activity,molecular_function
GO:0016491,oxidoreductase activity,molecular_function
GO:0016887,ATPase activity,molecular_function
GO:0003924,GTPase activity,molecular_function
GO:0004386,helicase activity,molecular_function
GO:0016787,hydrolase activity,molecular_function
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function
GO:0016798,"hydrolase activity, acting on glycosyl bonds",molecular_function
GO:0016298,lipase activity,molecular_function
GO:0004518,nuclease activity,molecular_function
GO:0008233,peptidase activity,molecular_function
GO:0016791,phosphatase activity,molecular_function
GO:0016407,acetyltransferase activity,molecular_function
GO:0034061,DNA polymerase activity,molecular_function
GO:0016301,kinase activity,molecular_function
GO:0004672,protein kinase activity,molecular_function
GO:0034062,RNA polymerase activity,molecular_function
GO:0016740,transferase activity,molecular_function
GO:0016746,"transferase activity, transferring acyl groups",molecular_function
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",molecular_function
GO:0016757,"transferase activity, transferring glycosyl groups",molecular_function
GO:0030234,enzyme regulator activity,molecular_function
GO:0003774,motor activity,molecular_function
GO:0001071,nucleic acid binding transcription factor activity,molecular_function
GO:0000988,protein binding transcription factor activity,molecular_function
GO:0004872,receptor activity,molecular_function
GO:0045182,translation regulator activity,molecular_function
GO:0005215,transporter activity,molecular_function
GO:0000156,two-component response regulator activity,molecular_function
